CHRONOS:9007208466892659
Found 6394 rows between start time: 1652033978 and end time: 1652883578
Ignoring URN 2bc2727d920b64e44fcb09431ed2a3f07e9ae5fa with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 173f54a8a6b5a09f7f9de9d9cf7ceda3ea7ce3cb with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 9906ee0e12f78cac1118e760d0156ea76dc45042 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 68eadaf71113877bc6de2f5682ea8a634fb834b7 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 87e0c3ebd231fb48e11330f7534f23fb6e13ed58 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN c20b044e5e1fe3c346f71e0c811dc264b5611e6f with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 747d89e61d5e9bd64033dd8283827469af1a0b7e with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 75a3dda0ae25a049518e13226e1bb836c68086b3 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN c3b3fd1e033b932b69bac4d7f6bfa793536e4e44 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN d4b06ab98f06671cc4b7e83f5cad8a3ef19bb424 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN d5609c557f4d8a6a3e02310c5143adefd82e6a5e with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 2c843bfef197db3421aacc52aa18e956c6d7cdaa with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN b004aa8ab97f8e7b3fe3c77b2b68a5e60c465aff with reason: Invoice was resent with a valid XML and URN b0ad69bc3c63ef02a70ce1a3d9288df6f6a4313a; this should go away in following runs
Ignoring URN 717c9c57024d8d113b35353be586b37cb9dd272e with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN d96a64d7fae754559aeb40c8cfce58264ca3ec42INVALIDKEY with reason: This invoice is part of batch T111636212 where the key had to be refreshed, and old ones had invalid key.; this should go away in following runs
Ignoring URN cbf8e96fb0b97e9ab361906500a68f69512f4999 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 55ed9b93679bfb17daa738097016f008368fceb3 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN a046281af5124547ca4be294378cb6a0d66e899c with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN cead4b846140439a7e63b00885d83b75c2a744e0 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 93ad096bfcfaa167f4c6f075f7cf90762c47a084 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 5557548e23f068502bde67dfb0aeeb64563c2991 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 8eae4c4cc0c667150af5645f6da7f34dc1328517 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN e8720efabc362022739201d09960933a83f1b503 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN e5ec5478362d548705fc1551c0c59e15508748d2 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 242b23a2028aaa3d79f81b3be0209d2383605d42 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 14f16ccfd06ce1963a079d8bdeb8685387757af3 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 80b4eb422eb6c976b8ab7f0388b44792096c237b with reason: Invoice was resent with valid XML and URN: a721c1117e8a16efc02bf9d7c7c23eb55d8fddf5; this should go away in following runs
Ignoring URN 2f0c03b4007b393690439872362d61101d43c110 with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 3ee0ee81c74c847bc2b2a0e8f3d88689522139fc with reason: Supplier Data Issue - T116273866; this should go away in following runs
Ignoring URN 6e83582b8c5a67c2c719cc6832a7018d2ffd15bc with reason: Invoice was manually processed. ID is: 354172456300529; this should go away in following runs
Ignoring URN 8e4beb952f34d315ed7be9ec8a8c644a26c558c8 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN f579e8b7f2541d09f828ffc5bf7610b8bcc5abb6 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN 1abd08bf5e1a39ad7758d14081cac2de8a9c6f38 with reason: Rejected due to invalid XML data, more details in T107743250; this should go away in following runs
Ignoring URN e11badc576a8da1beafea15f52e8f58e997fbfab with reason: Invoice was resent with valid XML and urn: 83a51f9d6e1010f13f44917369d0c5716519642d; this should go away in following runs
